id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"map.guide.line1","map-guide","","","jiaojiao","guide","line1","1","贴身宫女","娇娇","jiaojiao","stage","宫道","主子先记着，宫中大事多半都要从地图上走。养心殿与宝华殿最常去，若有宫务、朝堂、祈福与偶遇，也多从这里起头。","","地图引导"
"map.guide.line2","map-guide","","","jiaojiao","guide","line2","2","贴身宫女","娇娇","jiaojiao","stage","宫道","左侧四个圆形是常驻入口，能随时查看妃嫔、自己与纪事，也能在宫道和寝殿之间往返。等主子认过这些地方，咱们便回寝殿安排行程。","","地图引导"
"map.transition.enter-map","map-transition","","","jiaojiao","enter-map","","1","贴身宫女","娇娇","jiaojiao","stage","宫道","从{{fromResidence}}出殿时，廊下宫人纷纷避让。娇娇替你拢好披风，低声提醒：宫中各处都在眼前，只看主子今日想往哪里去。","","从寝殿进入地图"
"map.transition.inspect-location.with-description","map-transition","","{{locationName}}","","inspect-location","with-description","2","场景旁白","{{locationName}}","","","{{locationName}}","{{locationName}}近在眼前，{{locationDescription}}","","查看地图地点"
"map.transition.inspect-location.default","map-transition","","{{locationName}}","","inspect-location","default","3","场景旁白","{{locationName}}","","","{{locationName}}","{{locationName}}近在眼前，宫道上的声息也随之变得分明。","","查看地图地点"
"map.transition.enter-location","map-transition","","{{locationName}}","jiaojiao","enter-location","","4","贴身宫女","娇娇","jiaojiao","stage","{{locationName}}","行至{{locationName}}前，娇娇先一步打点通传。门内光影一换，{{locationName}}的场景已在眼前铺开。","","进入小场景"
"map.transition.return-chamber.from-location","map-transition","","{{fromLocation}}","jiaojiao","return-chamber","from-location","5","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","从{{fromLocation}}折返时天色已沉，你扶着娇娇的手回到{{residenceName}}，殿内茶炉还温着。","","从地点回宫"
"map.transition.return-chamber.default","map-transition","","","jiaojiao","return-chamber","default","6","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","宫道绕过一重影壁，你扶着娇娇的手回到{{residenceName}}，殿内茶炉还温着。","","从地图回宫"
"chamber.action.study","chamber-action","","","player","study","","1","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}窗下灯影微明，{{playerName}}翻开案头旧卷，把今日要记的句读一一圈定。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.painting","chamber-action","","","player","painting","","2","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}里新磨的墨尚带清香，{{playerName}}拂开宣纸，提笔试水，砚边墨色渐浓，顺势做了一回{{actionLabel}}。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.music","chamber-action","","","player","music","","3","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内琴弦轻响，{{playerName}}按着旧谱反复校音，半晌才让曲意稳住。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.embroidery","chamber-action","","","player","embroidery","","4","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}的绣架被移到光亮处，{{playerName}}拈针理线，将一段花样慢慢补齐。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.incense","chamber-action","","","player","incense","","5","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内香材分列小案，{{playerName}}以银匙取粉，缓缓调入蜜水，等炉中第一缕烟气稳住，才合上香盒。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.rest","chamber-action","","","jiaojiao","rest","","5","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","{{residenceName}}帘影低垂，娇娇替你撤下闲人，只留一盏温茶在榻边。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.nap","chamber-action","","","player","nap","","6","场景旁白","{{residenceName}}","","","{{residenceName}}","在殿内休息了片刻，感到神清气爽。","","寝殿小憩"
"chamber.action.default","chamber-action","","","player","default","","99","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}里短暂安静下来，{{playerName}}按下心绪，专心料理了{{actionLabel}}。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动默认"
"chamber.craft.inspiration.painting","chamber-craft","","","player","painting","inspiration","1","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}里墨色未干，{{playerName}}本只打算试笔，忽然在纸上留住一段新意。线条渐成时，案头已有了《{{workName}}》的雏形。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","字画才思泉涌"
"chamber.craft.inspiration.embroidery","chamber-craft","","","player","embroidery","inspiration","2","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内彩线铺开，{{playerName}}原是练针，指尖却顺着纹样生出新的章法。线头收住时，《{{workName}}》已被记在绣架旁。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","刺绣才思泉涌"
"chamber.craft.inspiration.incense","chamber-craft","","","player","incense","inspiration","3","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内香烟初起，{{playerName}}将几味香材重新配过，忽然闻出一缕可成方的余韵。你把这道香记作《{{workName}}》，待日后再慢慢调稳。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","调香才思泉涌"
"rank.promotion.summon","rank-promotion","","","eunuch","summon","","1","传旨内侍","内侍","eunuch","stage","寝殿","殿外靴声一停，内侍捧着明黄卷轴入内，躬身道：“圣旨到，娘娘接旨。”","","晋封圣旨传旨"
"xun.transition.end","xun-transition","","","eunuch","end-xun","","1","场景旁白","旬末","","","寝殿","{{currentMonth}}月{{currentXun}}旬将尽，宫门落钥，内侍沿廊传更。旧账合上，新一旬的风声也在夜里慢慢铺开。","","结束本旬"
"chamber.notice.stamina-block","chamber-notice","","","jiaojiao","stamina-block","","1","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子眼下体力不足，还是先歇一歇，再做这些事。","","体力不足拦截"
"chamber.notice.reserved-tool","chamber-notice","","","jiaojiao","reserved-tool","","2","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","{{toolLabel}}入口已预留，后续会补全对应功能。","","预留入口提示"
"chamber.notice.pulse-used","chamber-notice","","","jiaojiao","pulse-used","","3","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子今日已经请过平安脉了。太医嘱咐脉象不宜频看，若再劳师动众，反叫人疑心。","","平安脉一日一次拦截"
"overnight.reminder.map.stamina","overnight-reminder","","","jiaojiao","sleep","map-stamina","1","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，今日体力已经尽了。奴婢陪您回宫歇下，余下的事明儿清晨再听回禀。","","地图体力归零就寝提醒"
"overnight.reminder.map.deep-night","overnight-reminder","","","jiaojiao","sleep","map-deep-night","2","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，夜已经深了。奴婢陪您回宫歇下，等明儿清晨再听各处回禀。","","地图深夜就寝提醒"
"overnight.reminder.chamber.stamina","overnight-reminder","","","jiaojiao","sleep","chamber-stamina","3","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，今日体力已经尽了。奴婢替您收拾灯烛，先歇下吧。","","寝殿体力归零就寝提醒"
"overnight.reminder.chamber.deep-night","overnight-reminder","","","jiaojiao","sleep","chamber-deep-night","4","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，已经深夜了。奴婢替您放下帐子，先歇下吧。","","寝殿深夜就寝提醒"
